                                                                                                                                                        CODIGO
           MARCA                              MODELO                         INDUSTRIA                          Nº DE SERIE                         APROBACION                   Vigente desde                          TIPO
            ANCA                                  NEO                          argentina                          NEO-0021                         DNCI Nº 759/10            16/10/14 al 15/10/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0022                         DNCI Nº 759/10            14/05/15 al 13/05/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0023                         DNCI Nº 759/10            14/05/15 al 13/05/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0025                         DNCI Nº 759/10            16/01/15 al 15/01/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0026                         DNCI Nº 759/10            18/06/15 al 17/06/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0027                         DNCI Nº 759/10            22/09/14 al 21/09/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0028                         DNCI Nº 759/10            22/09/14 al 21/09/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0030                         DNCI Nº 759/10            03/06/15 al 02/06/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0031                         DNCI Nº 759/10            10/12/14 al 09/12/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0032                         DNCI Nº 759/10            10/12/14 al 09/12/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0033                         DNCI Nº 759/10            24/02/15 al 23/02/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0033                         DNCI Nº 759/10            08/10/15 al 07/10/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0034                         DNCI Nº 759/10            24/02/15 al 23/02/16                       FIJO
